Date,Pond,Extraction,Amplification
1-Apr,Pond A,GMF  ,0
1-Apr,Pond B,GMF  ,0
1-Apr,Pond C,GMF  ,1
1-Apr,Pond D,GMF  ,0
1-Apr,Pond A,SA,1
1-Apr,Pond B,SA,1
1-Apr,Pond C,SA,1
1-Apr,Pond D,SA,1
4-Apr,Pond A,GMF  ,1
4-Apr,Pond B,GMF  ,0
4-Apr,Pond C,GMF  ,1
4-Apr,Pond D,GMF  ,1
4-Apr,Pond A,SA,0
4-Apr,Pond B,SA,1
4-Apr,Pond C,SA,1
4-Apr,Pond D,SA,1
7-Apr,Pond A,GMF  ,0
7-Apr,Pond B,GMF  ,1
7-Apr,Pond C,GMF  ,0
7-Apr,Pond D,GMF  ,0
10-Apr,Pond A,GMF  ,0
10-Apr,Pond B,GMF  ,0
10-Apr,Pond C,GMF  ,1
10-Apr,Pond D,GMF  ,0
13-Apr,Pond A,GMF  ,0
13-Apr,Pond B,GMF  ,0
13-Apr,Pond C,GMF  ,0
13-Apr,Pond D,GMF  ,0
16-Apr,Pond A,GMF  ,0
16-Apr,Pond B,GMF  ,0
16-Apr,Pond C,GMF  ,0
16-Apr,Pond D,GMF  ,0
19-Apr,Pond A,GMF  ,0
19-Apr,Pond B,GMF  ,0
19-Apr,Pond C,GMF  ,0
19-Apr,Pond D,GMF  ,0
22-Apr,Pond A,GMF  ,0
22-Apr,Pond B,GMF  ,0
22-Apr,Pond C,GMF  ,1
22-Apr,Pond D,GMF  ,1
25-Apr,Pond A,GMF  ,0
25-Apr,Pond B,GMF  ,1
25-Apr,Pond C,GMF  ,0
25-Apr,Pond D,GMF  ,0
28-Apr,Pond A,GMF  ,0
28-Apr,Pond B,GMF  ,1
28-Apr,Pond C,GMF  ,0
28-Apr,Pond D,GMF  ,0
1-May,Pond A,GMF  ,0
1-May,Pond B,GMF  ,1
1-May,Pond C,GMF  ,0
1-May,Pond D,GMF  ,0
4-May,Pond A,GMF  ,0
4-May,Pond B,GMF  ,1
4-May,Pond C,GMF  ,0
4-May,Pond D,GMF  ,0
7-May,Pond A,GMF  ,1
7-May,Pond B,GMF  ,1
7-May,Pond C,GMF  ,0
7-May,Pond D,GMF  ,0
10-May,Pond A,GMF  ,0
10-May,Pond B,GMF  ,1
10-May,Pond C,GMF  ,0
10-May,Pond D,GMF  ,0
13-May,Pond A,GMF  ,0
13-May,Pond B,GMF  ,1
13-May,Pond C,GMF  ,1
13-May,Pond D,GMF  ,1
16-May,Pond A,GMF  ,0
16-May,Pond B,GMF  ,1
16-May,Pond C,GMF  ,0
16-May,Pond D,GMF  ,1
19-May,Pond A,GMF  ,1
19-May,Pond B,GMF  ,0
19-May,Pond C,GMF  ,1
19-May,Pond D,GMF  ,0
22-May,Pond A,GMF  ,1
22-May,Pond B,GMF  ,0
22-May,Pond C,GMF  ,0
22-May,Pond D,GMF  ,0
25-May,Pond A,GMF  ,0
25-May,Pond B,GMF  ,1
25-May,Pond C,GMF  ,0
25-May,Pond D,GMF  ,1
28-May,Pond A,GMF  ,0
28-May,Pond B,GMF  ,0
28-May,Pond C,GMF  ,0
28-May,Pond D,GMF  ,1
31-May,Pond A,GMF  ,1
31-May,Pond B,GMF  ,0
31-May,Pond C,GMF  ,0
31-May,Pond D,GMF  ,0
3-Jun,Pond A,GMF  ,1
3-Jun,Pond B,GMF  ,1
3-Jun,Pond C,GMF  ,0
3-Jun,Pond D,GMF  ,1
6-Jun,Pond A,GMF  ,0
6-Jun,Pond B,GMF  ,1
6-Jun,Pond C,GMF  ,0
6-Jun,Pond D,GMF  ,1
9-Jun,Pond A,GMF  ,1
9-Jun,Pond B,GMF  ,1
9-Jun,Pond C,GMF  ,1
9-Jun,Pond D,GMF  ,1
12-Jun,Pond A,GMF  ,0
12-Jun,Pond B,GMF  ,0
12-Jun,Pond C,GMF  ,0
12-Jun,Pond D,GMF  ,0
18-Jun,Pond A,GMF  ,1
18-Jun,Pond B,GMF  ,0
18-Jun,Pond C,GMF  ,0
18-Jun,Pond D,GMF  ,1
21-Jun,Pond A,GMF  ,1
21-Jun,Pond B,GMF  ,1
21-Jun,Pond C,GMF  ,1
21-Jun,Pond D,GMF  ,1
24-Jun,Pond A,GMF  ,1
24-Jun,Pond B,GMF  ,1
24-Jun,Pond C,GMF  ,1
24-Jun,Pond D,GMF  ,1
27-Jun,Pond A,GMF  ,1
27-Jun,Pond B,GMF  ,1
27-Jun,Pond C,GMF  ,1
27-Jun,Pond D,GMF  ,1
30-Jun,Pond A,GMF  ,0
30-Jun,Pond B,GMF  ,0
30-Jun,Pond C,GMF  ,0
30-Jun,Pond D,GMF  ,0
15-Jun,Pond A,SA,0
15-Jun,Pond B,SA,0
15-Jun,Pond C,SA,0
15-Jun,Pond D,SA,0
21-Jun,Pond A,SA,0
21-Jun,Pond B,SA,0
21-Jun,Pond C,SA,0
21-Jun,Pond D,SA,0
1-Jun,Pond A,SA,0
1-Jun,Pond B,SA,0
1-Jun,Pond C,SA,0
1-Jun,Pond D,SA,0
7-Apr,Pond A,SA,0
7-Apr,Pond B,SA,0
7-Apr,Pond C,SA,0
7-Apr,Pond D,SA,0
10-Apr,Pond A,SA,0
10-Apr,Pond B,SA,0
10-Apr,Pond C,SA,0
10-Apr,Pond D,SA,0
13-Apr,Pond A,SA,0
13-Apr,Pond B,SA,0
13-Apr,Pond C,SA,0
13-Apr,Pond D,SA,0
16-Apr,Pond A,SA,0
16-Apr,Pond B,SA,0
16-Apr,Pond C,SA,0
16-Apr,Pond D,SA,0
19-Apr,Pond A,SA,0
19-Apr,Pond B,SA,0
19-Apr,Pond C,SA,0
19-Apr,Pond D,SA,0
22-Apr,Pond A,SA,0
22-Apr,Pond B,SA,0
22-Apr,Pond C,SA,0
22-Apr,Pond D,SA,0
25-Apr,Pond A,SA,0
25-Apr,Pond B,SA,0
25-Apr,Pond C,SA,0
25-Apr,Pond D,SA,0
28-Apr,Pond A,SA,0
28-Apr,Pond B,SA,0
28-Apr,Pond C,SA,0
28-Apr,Pond D,SA,0
1-May,Pond A,SA,0
1-May,Pond B,SA,0
1-May,Pond C,SA,0
1-May,Pond D,SA,0
4-May,Pond A,SA,0
4-May,Pond B,SA,0
4-May,Pond C,SA,0
4-May,Pond D,SA,0
